item_type,item_key,earlier,later,decision,note,value
metadata,comparison_sha256,,,,,27f43aaefbfa9176a78161349b3d73252bbb9e2ee45d5f926107174bbcc6d3cc
metadata,public_label,,,,,
metadata,reviewed_at,,,,,
metadata,qualified_for_drawing_review,,,,,false
metadata,independent_from_matrix_extraction,,,,,false
metadata,direction_confirmation,,,,,pending
relation,,102,104,pending,,
relation,,150,153,pending,,
relation,,150,50,pending,,
relation,,153,30,pending,,
relation,,155,3,pending,,
relation,,156,150,pending,,
relation,,156,267,pending,,
relation,,164,165,pending,,
relation,,165,98,pending,,
relation,,170,156,pending,,
relation,,22,23,pending,,
relation,,222,228,pending,,
relation,,223,222,pending,,
relation,,224,223,pending,,
relation,,228,99,pending,,
relation,,23,235,pending,,
relation,,23,240,pending,,
relation,,235,26,pending,,
relation,,240,26,pending,,
relation,,241,3,pending,,
relation,,267,153,pending,,
relation,,3,164,pending,,
relation,,30,155,pending,,
relation,,30,241,pending,,
relation,,50,30,pending,,
relation,,98,224,pending,,
relation,,99,102,pending,,
